post_id,original_comment,cleaned_comment,comment_length,cleaned_length,language,vader_sentiment,vader_score,textblob_sentiment,textblob_score,final_sentiment,Post_ID
esn2Bqul7r,"I do appreciate the occasional sales they offer, though some items are still a bit overpriced.","appreciate occasional sale offer, though item still bit overpriced.",16,9,en,positive,0.4019,neutral,0.0,positive,31
esn2Bqul7r,"The quality is decent, though they could offer more organic options. It's a good choice for essentials.","quality decent, though could offer organic options. good choice essentials.",17,10,en,positive,0.4404,positive,0.45555555555555555,positive,32
esn2Bqul7r,"The aisles are too narrow, making it hard to navigate with a cart. It feels cramped and uncomfortable.","aisle narrow, making hard navigate cart. feel cramped uncomfortable.",18,9,en,negative,-0.4588,negative,-0.33055555555555555,negative,33
esn2Bqul7r,"Disappointing visit today. Couldn't find half the items I needed, and staff weren't helpful at all.","disappointing visit today. couldnt find half item needed, staff werent helpful all.",16,12,en,negative,-0.6738,negative,-0.3833333333333333,negative,34
esn2Bqul7r,Unacceptable service and terrible management. This store has really gone downhill over the past year.,unacceptable service terrible management. store really gone downhill past year.,15,10,en,negative,-0.7269,negative,-0.35000000000000003,negative,35
esn2Bqul7r,Nothing remarkable about this store. It's just average in terms of service and product selection.,nothing remarkable store. average term service product selection.,15,8,en,negative,-0.4449,positive,0.3,negative,36
esn2Bqul7r,"The customer service here is top-notch! They always make sure I'm satisfied, which is rare these days.","customer service topnotch! always make sure satisfied, rare days.",17,9,en,positive,0.6588,positive,0.575,positive,37
esn2Bqul7r,"I had some issues, but overall the staff was kind and resolved things. Still, could improve on product availability.","issues, overall staff kind resolved things. still, could improve product availability.",19,11,en,positive,0.8885,positive,0.3,positive,38
esn2Bqul7r,"The store is alright, not as impressive as other places. Fine for a quick stop if needed.","store alright, impressive places. fine quick stop needed.",17,8,en,negative,-0.2737,positive,0.40625,positive,39
YPXrayO0Uq,"Incredible shopping experience! The staff is attentive, the store is clean, and the variety is unbeatable. Love it here.","incredible shopping experience! staff attentive, store clean, variety unbeatable. love here.",19,11,en,positive,0.8016,positive,0.5666666666666667,positive,40
YPXrayO0Uq,"Found some decent deals, though not all prices are as competitive as I expected. Still, it’s worth visiting.","found decent deals, though price competitive expected. still, worth visiting.",18,10,en,positive,0.3818,positive,0.12222222222222222,positive,41
YPXrayO0Uq,Store is convenient but not my first choice. Needs more unique brands to stand out.,store convenient first choice. need unique brand stand out.,15,9,en,neutral,0.0,positive,0.375,positive,42
YPXrayO0Uq,"They often run out of popular items, which can be frustrating when you have to go somewhere else.","often run popular items, frustrating somewhere else.",18,7,en,neutral,-0.0258,neutral,0.09999999999999998,neutral,43
YPXrayO0Uq,"The customer service was terrible. No one helped me when I asked, and they were very rude about it.","customer service terrible. one helped asked, rude it.",19,8,en,negative,-0.8221,negative,-0.6950000000000001,negative,44
YPXrayO0Uq,"Awful experience. I waited in line forever, and the checkout process was painfully slow. Not happy at all.","awful experience. waited line forever, checkout process painfully slow. happy all.",18,11,en,negative,-0.8555,negative,-0.5666666666666668,negative,45
YPXrayO0Uq,"Store serves its purpose, but it's nothing special. Prices are fair, but selection is limited.","store serf purpose, nothing special. price fair, selection limited.",15,9,en,negative,-0.3153,positive,0.32857142857142857,positive,46
YPXrayO0Uq,Excellent selection and value! I’m very pleased with the prices and quality here. Highly recommend it!,excellent selection value! pleased price quality here. highly recommend it!,16,10,en,positive,0.913,positive,0.6166666666666666,positive,47
YPXrayO0Uq,"One issue with expired products, but the staff resolved it quickly. Generally a good experience.","one issue expired products, staff resolved quickly. generally good experience.",15,10,en,positive,0.7096,positive,0.7,positive,48
YPXrayO0Uq,"It’s fine, nothing outstanding. Prices and selection are average, which is good for quick shopping.","fine, nothing outstanding. price selection average, good quick shopping.",15,9,en,positive,0.123,positive,0.36,positive,49
uWI49O2Uzx,"This store is a gem! The prices, the variety, and the service are all top-notch. It’s a delight to shop here.","store gem! prices, variety, service topnotch. delight shop here.",21,9,en,positive,0.636,positive,1.0,positive,50
uWI49O2Uzx,"Good range of products, though sometimes hard to find specialty items. A decent option overall for grocery needs.","good range products, though sometimes hard find specialty items. decent option overall grocery needs.",18,14,en,positive,0.3612,positive,0.14375,positive,51
uWI49O2Uzx,"The store is clean and well-organized, but it’s not the best I've visited. Room for some improvements.","store clean wellorganized, best ive visited. room improvements.",17,8,en,negative,-0.1906,positive,0.6833333333333333,positive,52
uWI49O2Uzx,The customer service today was very poor. I asked for help and was met with rude responses. Not pleasant.,customer service today poor. asked help met rude responses. pleasant.,19,10,en,negative,-0.7503,negative,-0.3955555555555556,negative,53
uWI49O2Uzx,"The aisles are too crowded, and the stock is very low. Not what I expected from a supermarket.","aisle crowded, stock low. expected supermarket.",18,6,en,negative,-0.3384,neutral,-0.05,negative,54
uWI49O2Uzx,"Horrible experience. Expired products on the shelves, rude staff, and very overpriced. Definitely not coming back.","horrible experience. expired product shelves, rude staff, overpriced. definitely coming back.",16,11,en,negative,-0.5456,negative,-0.22000000000000003,negative,55
uWI49O2Uzx,"It's a very standard store. Doesn't really stand out from others, but it has what you need for basics.","standard store. doesnt really stand others, need basics.",19,8,en,neutral,0.0,neutral,0.1,neutral,56
uWI49O2Uzx,The staff here is amazing! They are always cheerful and willing to help. Shopping here is a pleasure!,staff amazing! always cheerful willing help. shopping pleasure!,18,8,en,positive,0.9358,positive,0.48750000000000004,positive,57
uWI49O2Uzx,"Had a small issue at checkout, but it was handled politely. Decent service, though the wait was long.","small issue checkout, handled politely. decent service, though wait long.",18,10,en,neutral,0.0,neutral,-0.04444444444444445,neutral,58
uWI49O2Uzx,"Just an average store. Nothing unique about it, but it’s fine for getting groceries done quickly.","average store. nothing unique it, fine getting grocery done quickly.",16,10,en,positive,0.296,positive,0.24375000000000002,positive,59
clOsToHYPX,"The best store around! Their selection is fantastic, and the deals are unbeatable. Always love coming here.","best store around! selection fantastic, deal unbeatable. always love coming here.",17,11,en,positive,0.923,positive,0.6333333333333333,positive,60
clOsToHYPX,"Decent prices, but some items are a bit overpriced. Still a good choice for weekly grocery shopping.","decent prices, item bit overpriced. still good choice weekly grocery shopping.",17,11,en,positive,0.5927,positive,0.4333333333333333,positive,61
clOsToHYPX,"Not my favorite store, but it’s clean and well-organized. A good place to shop for basics.","favorite store, clean wellorganized. good place shop basics.",16,8,en,positive,0.7691,positive,0.5222222222222223,positive,62
clOsToHYPX,"Customer service was lacking. I couldn't find help when I needed it, which made shopping here difficult.","customer service lacking. couldnt find help needed it, made shopping difficult.",17,11,en,negative,-0.5801,negative,-0.5,negative,63
clOsToHYPX,"The store is overcrowded, with low stock on essentials. Not the best experience I’ve had.","store overcrowded, low stock essentials. best experience ive had.",15,9,en,negative,-0.6671,positive,0.5,negative,64
clOsToHYPX,"This place is awful. Everything is expensive, and the staff is rude. I won't be coming back anytime soon.","place awful. everything expensive, staff rude. wont coming back anytime soon.",19,11,en,negative,-0.7184,negative,-0.45,negative,65
clOsToHYPX,"It’s fine, nothing really stands out. I come here because it’s close by, but it’s pretty standard.","fine, nothing really stand out. come close by, pretty standard.",17,10,en,positive,0.6908,positive,0.21666666666666667,positive,66
clOsToHYPX,The variety of products here is excellent! I always find what I’m looking for and more. Great shopping spot.,variety product excellent! always find looking more. great shopping spot.,19,10,en,positive,0.855,positive,0.7666666666666666,positive,67
clOsToHYPX,"One minor issue with a product, but they handled it professionally. Pretty good customer service overall.","one minor issue product, handled professionally. pretty good customer service overall.",16,11,en,positive,0.8462,positive,0.22499999999999998,positive,68
clOsToHYPX,"Basic store, nothing extraordinary. It’s convenient, but doesn’t offer much beyond what’s expected.","basic store, nothing extraordinary. convenient, doesnt offer much beyond whats expected.",13,11,en,neutral,0.0,positive,0.10833333333333334,positive,69
jOo3Esz9Mt,Incredible store! They always have fresh products and the friendliest staff. It’s a joy to shop here.,incredible store! always fresh product friendliest staff. joy shop here.,17,10,en,positive,0.8748,positive,0.7000000000000001,positive,70
jOo3Esz9Mt,"Some products are too expensive, though they have decent sales occasionally. Not the best, but alright overall.","product expensive, though decent sale occasionally. best, alright overall.",17,9,en,positive,0.1149,positive,0.13333333333333333,positive,71
jOo3Esz9Mt,"I like the store's layout, though it could use some more variety in certain sections. Pretty good.","like store layout, though could use variety certain sections. pretty good.",17,11,en,positive,0.8739,positive,0.41607142857142854,positive,72
jOo3Esz9Mt,I had to wait ages at the checkout. The store needs more staff during busy times. Quite frustrating.,wait age checkout. store need staff busy times. quite frustrating.,18,10,en,negative,-0.4927,neutral,0.06666666666666665,negative,73
jOo3Esz9Mt,Very poor selection in the produce section. Many items were old or out of stock. Needs improvement.,poor selection produce section. many item old stock. need improvement.,17,10,en,negative,-0.101,neutral,0.02666666666666666,negative,74
jOo3Esz9Mt,The worst! Horrible service and overpriced items everywhere. I regret shopping here. Never coming back.,worst! horrible service overpriced item everywhere. regret shopping here. never coming back.,15,12,en,negative,-0.8932,negative,-0.6666666666666666,negative,75
jOo3Esz9Mt,"It’s alright, gets the job done but not really impressive. I come here because it’s close.","alright, get job done really impressive. come close.",16,8,en,negative,-0.5233,negative,-0.5,negative,76
jOo3Esz9Mt,Super happy with my experience! The staff is always friendly and helpful. Love the atmosphere here.,super happy experience! staff always friendly helpful. love atmosphere here.,16,10,en,positive,0.9589,positive,0.5520833333333333,positive,77
jOo3Esz9Mt,"Some minor issues with finding products, but it’s still a decent place to shop. Staff is nice, too.","minor issue finding products, still decent place shop. staff nice, too.",18,11,en,positive,0.5719,positive,0.2388888888888889,positive,78
jOo3Esz9Mt,"It’s okay, not special but sufficient for what I need. No strong opinions either way.","okay, special sufficient need. strong opinion either way.",15,8,en,negative,-0.5764,neutral,0.034920634920634915,negative,79
QHxjUmNlxt,"This store is fantastic! The prices are great, and the selection is even better. Very happy to shop here.","store fantastic! price great, selection even better. happy shop here.",19,10,en,positive,0.9421,positive,0.7,positive,80
QHxjUmNlxt,"The store has good deals, but they run out of stock too often. Frustrating at times but manageable.","store good deals, run stock often. frustrating time manageable.",18,9,en,negative,-0.4404,positive,0.14999999999999997,negative,81
QHxjUmNlxt,"I like the convenience of this store, but the layout could be a bit better for easier navigation.","like convenience store, layout could bit better easier navigation.",18,9,en,positive,0.8519,positive,0.5,positive,82
QHxjUmNlxt,"The shelves were messy today, and no one was around to help. Not a great experience overall.","shelf messy today, one around help. great experience overall.",17,9,en,negative,-0.6479,negative,-0.20000000000000004,negative,83
QHxjUmNlxt,"Terrible experience! The staff didn’t help, and the products weren’t fresh. Not worth the money.","terrible experience! staff didnt help, product werent fresh. worth money.",15,10,en,positive,0.1346,negative,-0.2833333333333333,negative,84
QHxjUmNlxt,"Awful. The checkout lines were painfully slow, and the staff was unfriendly. Won’t be returning.","awful. checkout line painfully slow, staff unfriendly. wont returning.",15,9,en,negative,-0.836,negative,-0.65,negative,85
QHxjUmNlxt,"It’s a fine store, though it’s lacking in some areas. Good for quick trips, but doesn’t impress.","fine store, though lacking areas. good quick trips, doesnt impress.",17,10,en,positive,0.7351,positive,0.48333333333333334,positive,86
QHxjUmNlxt,"They always have what I need, and the staff is great. Excellent store with a good selection and prices.","always need, staff great. excellent store good selection prices.",19,9,en,positive,0.8934,positive,0.8333333333333334,positive,87
QHxjUmNlxt,"Had a little issue with my receipt, but the staff fixed it quickly. Not bad overall.","little issue receipt, staff fixed quickly. bad overall.",16,8,en,positive,0.5824,neutral,0.06562499999999999,positive,88
QHxjUmNlxt,"Pretty standard store, but convenient enough. It’s good for last-minute shopping.","pretty standard store, convenient enough. good lastminute shopping.",11,8,en,positive,0.714,positive,0.2375,positive,89
3VxjfVUH9l,"Amazing store! The staff, prices, and variety make this the best place to shop. I highly recommend it.","amazing store! staff, prices, variety make best place shop. highly recommend it.",18,12,en,positive,0.9019,positive,0.6366666666666666,positive,90
3VxjfVUH9l,"Some deals are good, but overall prices could be more competitive. Worth visiting occasionally, though.","deal good, overall price could competitive. worth visiting occasionally, though.",15,10,en,positive,0.7357,positive,0.3,positive,91
3VxjfVUH9l,It’s an okay store with a fair selection. Decent but not my first choice for groceries.,okay store fair selection. decent first choice groceries.,16,8,en,positive,0.2732,positive,0.4041666666666667,positive,92
3VxjfVUH9l,It was very hard to find help in the store. Staff should be more attentive to customer needs.,hard find help store. staff attentive customer needs.,18,8,en,positive,0.2516,positive,0.17361111111111108,positive,93
3VxjfVUH9l,"Poor service today. The aisles were a mess, and the products were poorly organized. Not impressed.","poor service today. aisle mess, product poorly organized. impressed.",16,9,en,negative,-0.7994,negative,-0.36875,negative,94
3VxjfVUH9l,Horrible store. Expensive and low-quality items everywhere. Absolutely not worth the time or money.,horrible store. expensive lowquality item everywhere. absolutely worth time money.,14,10,en,negative,-0.6645,negative,-0.5499999999999999,negative,95
3VxjfVUH9l,"The store is okay but could be improved. Nothing too special, but it’s good for quick stops.","store okay could improved. nothing special, good quick stops.",17,9,en,positive,0.6871,positive,0.4726190476190476,positive,96
3VxjfVUH9l,Fantastic store! They have everything I need and more. I always have a positive experience here.,fantastic store! everything need more. always positive experience here.,16,9,en,positive,0.8172,positive,0.4090909090909091,positive,97
3VxjfVUH9l,"A little hard to find specific items, but overall a decent shopping experience. Friendly staff, too.","little hard find specific items, overall decent shopping experience. friendly staff, too.",16,12,en,positive,0.6424,neutral,0.010416666666666666,positive,98
3VxjfVUH9l,"Pretty basic store. Not much to say; it meets my needs, but doesn’t do much beyond that.","pretty basic store. much say meet needs, doesnt much beyond that.",17,11,en,positive,0.2732,neutral,0.0875,positive,99
o9Dsa6vLOe,I’m always amazed by how fresh the produce is at this store! They have the best selection of fruits and vegetables.,always amazed fresh produce store! best selection fruit vegetables.,21,9,en,positive,0.8748,positive,0.6875,positive,100
o9Dsa6vLOe,"They have some decent sales, but I wish the bakery had more variety. It’s a good place for regular groceries.","decent sales, wish bakery variety. good place regular groceries.",20,9,en,positive,0.8126,positive,0.3416666666666667,positive,101
o9Dsa6vLOe,"Overall, the store is fine, but I often have trouble finding items in the right sections. They should consider reorganizing.","overall, store fine, often trouble finding item right sections. consider reorganizing.",20,11,en,negative,-0.4854,positive,0.1255952380952381,negative,102
o9Dsa6vLOe,"The checkout lines were too long today, and it felt like there weren't enough cashiers. This needs to be improved.","checkout line long today, felt like werent enough cashiers. need improved.",20,11,en,positive,0.6808,neutral,-0.025,positive,103
o9Dsa6vLOe,I had a disappointing experience with the deli today; my order was incorrect and took way too long to correct.,disappointing experience deli today order incorrect took way long correct.,20,10,en,negative,-0.4939,negative,-0.325,negative,104
o9Dsa6vLOe,"This supermarket is the worst! The staff was rude, and I found expired items on the shelves. Not returning!","supermarket worst! staff rude, found expired item shelves. returning!",19,9,en,negative,-0.8264,negative,-0.6875,negative,105
o9Dsa6vLOe,"The store is average; it meets my needs, but there’s nothing exciting about it. It serves its purpose for shopping.","store average meet needs, there nothing exciting it. serf purpose shopping.",20,11,en,negative,-0.5334,neutral,0.075,negative,106
o9Dsa6vLOe,I love shopping here! The staff is so friendly and always willing to help me find what I need. Highly recommended!,love shopping here! staff friendly always willing help find need. highly recommended!,21,12,en,positive,0.9286,positive,0.3625,positive,107
o9Dsa6vLOe,"I had a minor issue with a coupon, but the cashier was very understanding and helped me sort it out quickly.","minor issue coupon, cashier understanding helped sort quickly.",21,8,en,neutral,0.0,positive,0.16111111111111112,positive,108
o9Dsa6vLOe,"It’s a typical supermarket. It has what I need, but I don’t look forward to shopping here.","typical supermarket. need, dont look forward shopping here.",17,8,en,neutral,0.0,negative,-0.16666666666666666,negative,109
7vD9CsEfde,"Every time I shop here, I leave satisfied. The quality of the products is always exceptional, and the prices are fair.","every time shop here, leave satisfied. quality product always exceptional, price fair.",21,12,en,positive,0.5994,positive,0.6222222222222221,positive,110
7vD9CsEfde,"Nice deals on certain items, but some specialty products are often out of stock. Still, it’s a good shopping spot.","nice deal certain items, specialty product often stock. still, good shopping spot.",20,12,en,positive,0.743,positive,0.5047619047619047,positive,111
7vD9CsEfde,"It’s an okay supermarket, but I’d like to see more organic products. It’s great for everyday groceries, though.","okay supermarket, like see organic products. great everyday groceries, though.",18,10,en,positive,0.8847,positive,0.4,positive,112
7vD9CsEfde,The staff seemed overwhelmed during my visit. I had to wait quite a while for assistance in the aisles.,staff seemed overwhelmed visit. wait quite assistance aisles.,19,8,en,positive,0.0516,neutral,0.0,positive,113
7vD9CsEfde,"I was disappointed with my last visit. The store was messy, and some of the items I needed were out of stock.","disappointed last visit. store messy, item needed stock.",22,8,en,negative,-0.6808,negative,-0.31666666666666665,negative,114
7vD9CsEfde,"Absolutely terrible service today. The employees were unhelpful, and I had a hard time finding what I wanted.","absolutely terrible service today. employee unhelpful, hard time finding wanted.",18,10,en,negative,-0.5849,negative,-0.6458333333333334,negative,115
7vD9CsEfde,"It’s an acceptable store for quick trips, but I’d prefer a wider variety in their product offerings.","acceptable store quick trips, prefer wider variety product offerings.",17,9,en,positive,0.1655,positive,0.3333333333333333,positive,116
7vD9CsEfde,I’m always impressed by the sales and discounts! It makes grocery shopping here a delightful experience every time.,always impressed sale discounts! make grocery shopping delightful experience every time.,18,11,en,positive,0.8016,positive,1.0,positive,117
7vD9CsEfde,"Had a minor mix-up with my order, but the staff handled it professionally and quickly. Overall a good experience!","minor mixup order, staff handled professionally quickly. overall good experience!",19,10,en,positive,0.63,positive,0.23125,positive,118
7vD9CsEfde,Just an average experience at this supermarket. It has decent products but lacks the excitement of shopping elsewhere.,average experience supermarket. decent product lack excitement shopping elsewhere.,18,9,en,positive,0.6486,neutral,0.008333333333333331,positive,119
qywn8lKZ4U,"This supermarket is truly a treasure! They consistently have fresh ingredients, and the quality is top-notch every single time I visit.","supermarket truly treasure! consistently fresh ingredients, quality topnotch every single time visit.",21,12,en,positive,0.7712,positive,0.36964285714285716,positive,120
qywn8lKZ4U,"I appreciate the sales, but they could offer a better selection of health foods. It’s good for basic grocery shopping, though.","appreciate sales, could offer better selection health foods. good basic grocery shopping, though.",21,13,en,positive,0.8608,positive,0.39999999999999997,positive,121
qywn8lKZ4U,"It’s a nice store, but I often struggle to find specialty items. Overall, it’s decent for everyday groceries.","nice store, often struggle find specialty items. overall, decent everyday groceries.",18,11,en,negative,-0.2617,positive,0.14166666666666666,negative,122
qywn8lKZ4U,"The checkout experience was frustrating today. I had to wait far too long, which made my shopping trip less enjoyable.","checkout experience frustrating today. wait far long, made shopping trip less enjoyable.",20,12,en,negative,-0.0754,neutral,-0.0033333333333333435,negative,123
qywn8lKZ4U,"Unfortunately, I found several expired items on the shelves today, which is quite concerning. They need to do better with stock management.","unfortunately, found several expired item shelf today, quite concerning. need better stock management.",22,13,en,positive,0.128,neutral,0.0,positive,124
qywn8lKZ4U,Very unhappy with my shopping experience! The staff seemed uninterested and unhelpful. I won’t be coming back anytime soon.,unhappy shopping experience! staff seemed uninterested unhelpful. wont coming back anytime soon.,19,12,en,negative,-0.5244,negative,-0.48750000000000004,negative,125
qywn8lKZ4U,"This store is fine for quick trips. Nothing overly special, but it has what I need for basic grocery runs.","store fine quick trips. nothing overly special, need basic grocery runs.",20,11,en,negative,-0.059,positive,0.2767857142857143,positive,126
qywn8lKZ4U,"Absolutely love shopping here! The employees are always friendly, and I find everything I’m looking for without any issues.","absolutely love shopping here! employee always friendly, find everything looking without issues.",19,12,en,positive,0.8395,positive,0.5,positive,127
qywn8lKZ4U,"Had an issue with a product I purchased, but the staff handled it well. Good customer service overall!","issue product purchased, staff handled well. good customer service overall!",18,10,en,positive,0.7777,positive,0.35,positive,128
qywn8lKZ4U,"It’s an okay store, just your regular supermarket. It meets my needs, but there’s nothing exciting about it.","okay store, regular supermarket. meet needs, there nothing exciting it.",18,10,en,negative,-0.4574,positive,0.26666666666666666,negative,129
CTAsMUczCi,"Shopping here is always a great experience! The staff is friendly, and the store is well-stocked with fresh products.","shopping always great experience! staff friendly, store wellstocked fresh products.",19,10,en,positive,0.8718,positive,0.5583333333333333,positive,130
CTAsMUczCi,"There are good deals to be found, but I wish the organic section was larger. Still a decent place for groceries.","good deal found, wish organic section larger. still decent place groceries.",21,11,en,positive,0.6705,positive,0.28888888888888886,positive,131
CTAsMUczCi,"It’s a convenient store, but they could offer more unique brands. Great for essentials, though, so I keep coming back.","convenient store, could offer unique brands. great essentials, though, keep coming back.",20,12,en,positive,0.7932,positive,0.41875,positive,132
CTAsMUczCi,"The aisles were very congested today. It was difficult to navigate with a cart, which made shopping challenging.","aisle congested today. difficult navigate cart, made shopping challenging.",18,9,en,negative,-0.2263,neutral,0.06666666666666667,negative,133
CTAsMUczCi,"My visit was disappointing. The staff didn’t seem interested in helping, and several items I needed were missing from the shelves.","visit disappointing. staff didnt seem interested helping, several item needed missing shelves.",21,12,en,negative,-0.128,negative,-0.1375,negative,134
CTAsMUczCi,"What a disaster! The service was awful, and the selection was very limited. I definitely won’t return to this store.","disaster! service awful, selection limited. definitely wont return store.",20,9,en,negative,-0.7664,negative,-0.3642857142857143,negative,135
CTAsMUczCi,"It’s just an ordinary supermarket. It gets the job done, but I wouldn’t recommend it for anything beyond basics.","ordinary supermarket. get job done, wouldnt recommend anything beyond basics.",19,10,en,positive,0.5023,negative,-0.25,positive,136
CTAsMUczCi,The best supermarket around! Their fresh produce and fantastic deals always keep me coming back. I highly recommend it!,best supermarket around! fresh produce fantastic deal always keep coming back. highly recommend it!,19,14,en,positive,0.9257,positive,0.38,positive,137
CTAsMUczCi,"Had a small problem with my order, but the team resolved it quickly. Good experience overall, despite minor hiccups.","small problem order, team resolved quickly. good experience overall, despite minor hiccups.",19,12,en,positive,0.6187,neutral,0.09999999999999999,positive,138
